"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade","xTFR","zTFR"
"57","BLR",1987,2.086,828140,357175,385277,432368,388002,350734,222403,351056,2487015,2.33089868778435,0.329861299590071,0.01317,2.1094,0.332985526826336,6.33480986427416,0.143615941198585,0.154915430747301,0.173850177823616,0.156011121766455,0.141026089508909,0.0894256769661622,0.141155561988971,"1980",2.18633988071218,2.16426510740983
"58","BLR",1988,2.12,828265,355001,368462,432080,400013,361412,235163,323482,2475613,2.34198762084381,0.336115943808665,0.01303,2.1026,0.334569660120544,6.28449094649659,0.143399230816771,0.148836671967711,0.174534549624679,0.161581394183986,0.145988892448052,0.094991826266868,0.130667434691933,"1980",2.17215104504581,2.15921134202659
"59","BLR",1989,2.028,825449.96,352871.56,356975.54,427981.88,415985.6,365657.25,263245.63,281514.55,2464232.01,2.34480750860793,0.342487020935987,0.01141,2.089,0.334972501229704,6.23633281039834,0.143197376938546,0.144862796421511,0.173677591340111,0.168809429595876,0.148385885953977,0.106826641700836,0.114240278049144,"1980",2.14968847650162,2.14923918952718
"60","BLR",1991,1.806,790711,360889,340853,398114,432608,375063,325829,226379,2459735,2.25023305356065,0.337728251214054,0.01173,1.9906,0.321461864794378,6.1923363795369,0.146718650586344,0.138573057666781,0.161852394668531,0.175875856545522,0.15248105995158,0.132465082620689,0.0920338979605527,"1990",2.0809599235746,2.10331306345907
"61","BLR",1992,1.765,753650,359087,339158,382499,436116,386253,345591,217106,2465810,2.13947952194208,0.331986243871182,0.01217,1.9264,0.305639931706011,6.30284135075964,0.145626386461244,0.137544255234588,0.155121035278468,0.176865208592714,0.156643455902928,0.140153134264197,0.0880465242658599,"1990",1.99916042579674,2.01877724431175
"62","BLR",1993,1.624,722078,359079,342585,368221,435522,398496,356967,229643,2490513,2.02952002258169,0.322721864933048,0.01213,1.8272,0.289931431797385,6.30217975564967,0.144178729442488,0.13755599749931,0.147849459127497,0.174872405805551,0.160005589209934,0.143330711383558,0.0922071075316611,"1990",1.92797594877975,1.94032643768328
"63","BLR",1995,1.407,624279,365518,350661,345572,418316,426473,366261,290374,2563175,1.70489841700235,0.29802413022911,0.01296,1.6274,0.243556916714622,6.68180572308215,0.14260360685478,0.136807280033552,0.13482185180489,0.16320227842422,0.166384659650629,0.142893481717011,0.113286841514918,"1990",1.6902814045114,1.68668383992363
"64","BLR",1997,1.25,541877,372013,356702,336998,384352,437045,384830,341391,2613331,1.45145754594424,0.276027032166993,0.01224,1.4302,0.207351077992034,6.89748041751172,0.142352040365342,0.136493234113857,0.128953431463523,0.14707360070347,0.16723675646139,0.147256509030046,0.130634427862372,"1990",1.49261059760124,1.48179717817159
"65","BLR",1998,1.3,503461,376944,356608,339315,367537,434425,395268,351460,2621557,1.34432591013661,0.269630605018315,0.01146,1.3654,0.192046558590944,7.1097342749488,0.143786307144952,0.13602908500559,0.129432623437141,0.140197981581175,0.165712589884561,0.150776046448733,0.134065366497848,"1990",1.39687638268689,1.38729304091249
"66","BLR",1999,1.311,479100,383847,350480,344473,356361,425941,413980,356762,2631844,1.27427765475461,0.266290099261202,0.01146,1.3206,0.182039664964945,7.25446292298059,0.14584717027301,0.133168987219607,0.130886557105968,0.135403542155234,0.161841279346344,0.15729655709077,0.135555906809066,"1990",1.33123566189278,1.32744755862033
"67","BLR",2000,1.318,464106,390941,352465,347072,347189,414477,422503,359848,2634495,1.23315550039002,0.263527165547856,0.00935,1.3028,0.176165071484288,7.39533659551913,0.14839314555541,0.133788449019641,0.131741377379726,0.131785788168131,0.157326926033263,0.160373430201993,0.136590883641836,"2000",1.29399495061449,1.29369226891847
"68","BLR",2001,1.287,457561,395464,355609,346509,344684,397584,430943,368463,2639256,1.21357193087749,0.261889335479393,0.00906,1.2932,0.173367418696784,7.45930238634849,0.149839197107064,0.134738350504839,0.131290409115296,0.130598926364097,0.15064245378243,0.163282000685042,0.139608662441233,"2000",1.27678181692957,1.28030333473692
"69","BLR",2003,1.232,454012,402743,362210,343948,343887,366267,431790,390569,2641414,1.20317526900365,0.260404086599072,0.00773,1.2778,0.171882181286235,7.43416211289569,0.152472501470803,0.13712731135672,0.130213590145278,0.130190496453793,0.138663231133022,0.163469263053804,0.147863606386579,"2000",1.26884349191137,1.27831718634374
"70","BLR",2004,1.234,449688,396810,369974,345645,342962,354811,421694,407397,2639293,1.19267394715176,0.260905856227406,0.00693,1.2624,0.170381992450251,7.40923369803063,0.150347081585864,0.140179207083109,0.130961208172037,0.129944648055369,0.134434107922084,0.159775364084245,0.154358383097292,"2000",1.25676440549424,1.26342005637763
"71","BLR",2005,1.253,445448,388415,376429,346401,344064,344755,409775,415232,2625071,1.18782920538149,0.263027171455553,0.00714,1.2494,0.16968988648307,7.36284304206103,0.147963616984074,0.143397645244643,0.131958716545191,0.131068454910362,0.131331685885829,0.156100539756829,0.158179340673071,"2000",1.24742941011617,1.25107141596438
"72","BLR",2008,1.488,461016,341865,386298,354176,339700,340404,361780,423098,2547321,1.26686507118655,0.272394409656262,0.0046,1.348,0.180980724455222,7.44830701754386,0.134205700812736,0.151648732138588,0.13903862135946,0.133355788296803,0.133632157077965,0.142023718251449,0.166095282062999,"2000",1.31050982129507,1.29331495244379
"73","BLR",2011,1.516,518350,284572,370711,374991,344300,339993,337605,387155,2439327,1.48747994836281,0.294872725140992,0.00387,1.4876,0.212497135480401,7.00056495649658,0.116660045988094,0.151972654752725,0.153727237061698,0.141145488079294,0.139379837143606,0.138400878602992,0.158713858371592,"2010",1.48259612666048,1.44384619771802
"74","BLR",2012,1.621,533353,265712,357801,381729,347505,338316,336630,371597,2399290,1.55607325500461,0.30393741481855,0.00342,1.5258,0.222296179286372,6.86381567554696,0.110746095719984,0.149127866993986,0.159100817325125,0.144836597493425,0.141006714486369,0.140304006601953,0.154877901379158,"2010",1.52728566756525,1.48415251068628
"75","BLR",2013,1.668,549462,245947,345895,384476,351783,337207,337377,357480,2360165,1.62964623236087,0.31195234231505,0.00346,1.5618,0.232806604622982,6.70857256188781,0.104207544811486,0.146555431505848,0.162902169975404,0.149050172339646,0.142874332938587,0.142946361800976,0.151463986628054,"2010",1.57757124462147,1.52878952410107
"76","BLR",2014,1.697,562055,233838,326860,382297,360979,338927,336836,346868,2326605,1.69104123819901,0.319468066130693,0.00344,1.5994,0.241577319742715,6.62065462810579,0.100506102239099,0.140487964222547,0.164315386582596,0.155152679548097,0.145674491372622,0.144775756950578,0.14908761908446,"2010",1.6156691621316,1.56781366019135
"77","BGR",1947,2.829,662138.51,342406.13,363043.93,249278.93,256162.53,260910.95,237416.88,191885.88,1901105.23,2.43803946086667,0.265867166122098,0.13281,NA,0.348291351552381,NA,0.180108983236031,0.190964668483922,0.13112316249848,0.134744003623618,0.137241719123565,0.1248836078369,0.100933855197484,"1940",2.548746558367,2.54188275984458
"78","BGR",1948,2.875,675057.43,345136.45,354942.25,293341.21,218833.91,270894.83,241833.86,201402.09,1926384.6,2.45298992215781,0.26587376165694,0.12071,NA,0.35042713173683,NA,0.179162795425171,0.184253056217331,0.152275516529773,0.113598245127167,0.140623440407487,0.125537683388873,0.104549262904199,"1940",2.56434873463056,2.54911041390325
"79","BGR",1949,2.869,697533.1,339263.33,355853.89,321604.43,216074.35,254877.26,248745.1,205823.57,1942241.93,2.5139667847661,0.276834091415172,0.11663,NA,0.359138112109442,NA,0.174676143460666,0.183218107128395,0.165584124733627,0.111249966681545,0.131228378948651,0.128071120367585,0.105972158679532,"1940",2.5818391287038,2.5697231775513
"80","BGR",1950,2.927,728096.54,343679.44,344936.93,340594.3,203568.62,265662.87,249400.66,218348.51,1966191.33,2.59215657308386,0.27675990209966,0.09681,NA,0.370308081869123,NA,0.174794504866421,0.17543406113992,0.173225410367362,0.103534491732297,0.135115472205851,0.126844552813688,0.111051506874461,"1950",2.66246272396141,2.6514590724638
"81","BGR",1951,2.424,756650.53,334632.8,342587.58,342347.12,213239.73,262080.54,256932.71,216480.16,1968300.64,2.69092718986262,0.282267270918532,0.09789,2.7848,0.384418169980375,7.24419451906285,0.170011020267717,0.174052465887528,0.173930299590819,0.108336971327713,0.133150665438995,0.130535297697205,0.109983279790022,"1950",2.73903409825155,2.72766104423982
"82","BGR",1953,2.411,734866.1,319329.05,332828.92,342536.7,282651.37,211935.79,260230.1,233232.3,1982744.23,2.59441567004333,0.315314532525458,0.08049,2.6118,0.37063081000619,7.04690470810124,0.161054081090429,0.167862760594189,0.172758893869029,0.142555638656429,0.106890130755796,0.131247437799882,0.117631057234245,"1950",2.49686855245882,2.52981272945656
