"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade"
"67","BLR",1966,2.309,853613.8,350205.1,250021.23,392084.57,357565.59,397936.57,323571.72,200588.5,2271973.28,2.63000302538769,0.329955535392564,0.02195,NA,0.375714717912528,NA,0.154141381451458,0.110045849658936,0.17257446355179,0.157381071840774,0.175150198069231,0.142418805207075,0.0882882302207357,"1960"
"68","BLR",1967,2.286,819865.72,361805.37,238825.24,372600.95,369808.48,386552.71,356749.31,207955.61,2294297.67,2.50144526363922,0.323588974398427,0.02045,NA,0.357349323377032,NA,0.157697658299065,0.10409514123771,0.162403054700396,0.161185919698031,0.168484113920579,0.155493907641025,0.0906402045031933,"1960"
"69","BLR",1968,2.316,789300.64,366855.22,248027.98,341366.59,364070.95,393905.8,363910.17,243027.23,2321163.94,2.38031635111478,0.30391543132451,0.01965,2.2868,0.340045193016397,6.72498846319445,0.158047957612162,0.106855003098144,0.147066988297259,0.156848443027251,0.169701843636258,0.156779176054234,0.104700588274691,"1960"
"70","BLR",1969,2.29,766321.63,370504.66,272032.57,296833.92,374649.67,376315.87,377820.96,266231.01,2334388.66,2.29792557765424,0.287648582905642,0.01879,2.2884,0.328275082522034,6.9709829403406,0.158715926935663,0.116532681408759,0.127157026199742,0.1604915567059,0.161205319597466,0.161850066560896,0.114047422591575,"1960"
"71","BLR",1970,2.354,743893.2,375321.83,297260.92,261101.97,383497.53,362632.58,381091.03,296984.37,2357890.23,2.20843715867129,0.273379774765851,0.01922,2.311,0.315491022667327,7.32508957136589,0.159176973221523,0.126070720433835,0.110735422148978,0.162644352616873,0.153795361372696,0.161623736826799,0.125953433379297,"1970"
"72","BLR",1971,2.36,729443.31,391066.54,329533.51,233073.4,378399.19,348717.48,391517.83,322043.62,2394351.57,2.13256199882125,0.255381288889,0.01644,2.3212,0.304651714117322,7.61919231843253,0.16332878801086,0.137629542014166,0.0973430146684766,0.158038274220523,0.145641719607618,0.163517269103468,0.134501392374888,"1970"
"73","BLR",1972,2.311,721506.75,405880.69,347331.39,225468.15,361774.12,361043.01,381607.99,354452.52,2437557.87,2.07197019285536,0.240914185967614,0.01626,2.3262,0.29599574183648,7.85889683941834,0.166511201639697,0.142491546262243,0.0924975578118274,0.148416628155786,0.148116692712612,0.156553407283824,0.14541296613401,"1970"
"74","BLR",1973,2.227,718620.55,420448.93,357405.1,239130.56,332730.17,358290.64,387520.67,362533.9,2458059.97,2.04646913069416,0.232647183949706,0.01644,2.3084,0.292352732956308,7.89594123734424,0.171049093647622,0.145401293850451,0.0972842660140631,0.135362917935643,0.14576155357186,0.157653057585898,0.147487817394463,"1970"
"75","BLR",1974,2.214,716156.35,434567,363715.93,267902.51,291981.9,371381.63,370941.04,374811.65,2475301.66,2.02524586437679,0.226188354755921,0.01668,2.2932,0.289320837768113,7.92614876166636,0.175561228363576,0.146938022091417,0.108230246975231,0.11795810778069,0.150034897160777,0.14985690269363,0.15142059493468,"1970"
"76","BLR",1975,2.157,724993.54,438125.22,368547.67,297919.18,261672.82,382395.71,358819.04,377625.6,2485105.24,2.04214883873489,0.22517839123787,0.01856,2.2538,0.291735548390699,7.72548978838073,0.176300469271072,0.148302640897413,0.119881916952539,0.10529647428533,0.153875056816507,0.144387865038665,0.151955576738472,"1970"
